id,simbolo,nombre,fecha_genesis,porcentaje_votos_positivos,porcentaje_votos_negativos,usuarios_lista_seguimiento,ranking_cap_mercado,ranking_coingecko,puntuacion_coingecko,puntuacion_desarrollador,puntuacion_comunidad,puntuacion_liquidez,puntuacion_interes_publico,precio_actual_usd,precio_maximo_historico_usd,precio_minimo_historico_usd,capitalizacion_mercado_usd,valoracion_total_diluida_usd,volumen_total_usd,alto_24h_usd,bajo_24h_usd,cambio_precio_24h_usd,oferta_total,oferta_maxima,oferta_circulante
bitcoin,btc,Bitcoin,2009-01-03,62.13,37.87,1332601,1,1,83.151,99.241,83.341,100.011,0.073,25882.0,69045.0,67.81,503580110214,543217892035,5675162795,26200.0,25820.0,-149.08267619283652,21000000.0,21000000.0,19467662.0
ethereum,eth,Ethereum,2015-07-30,63.64,36.36,1194515,2,2,78.783,97.494,72.746,95.183,0.236,1641.07,4878.26,0.432979,197248313062,197248313062,7276891213,1664.66,1636.87,-7.5991173993643315,120216444.295051,Sin Dato,120216444.295051
tether,usdt,Tether,Sin Dato,56.25,43.75,284379,3,150,41.416,0.0,10.685,101.651,0.029,0.999394,1.32,0.572521,82774968781,82774968781,17454631744,1.002,0.997937,-4.1297824213471e-05,82849133565.976,Sin Dato,82849133565.976
binancecoin,bnb,BNB,2017-07-08,61.82,38.18,642994,4,5,65.446,73.082,61.771,73.073,11.364,217.02,686.31,0.0398177,33367452194,43374869570,392292742,219.05,214.12,-0.443358396073279,153856150.0,200000000.0,153856150.0
ripple,xrp,XRP,Sin Dato,70.44,29.56,569536,5,3,66.223,83.005,51.794,81.07,0.022,0.519918,3.4,0.00268621,27501467937,51973707036,865092243,0.521617,0.508245,0.00450379,99988485729.0,100000000000.0,52914193551.0
usd-coin,usdc,USD Coin,Sin Dato,69.23,30.77,109856,6,28,53.898,63.076,9.747,87.41,0.033,1.001,1.17,0.877647,25875816011,25875831765,4054821069,1.003,0.997858,0.00149935,25857024264.3345,Sin Dato,25857008521.2519
staked-ether,steth,Lido Staked Ether,Sin Dato,50.0,50.0,13119,7,253,34.763,0.0,33.667,52.515,0.023,1639.36,4829.57,482.9,13736730865,13736730865,7677610,1661.59,1634.3,-8.225069137209175,8377738.53026557,8377738.53026557,8377738.53026557
cardano,ada,Cardano,Sin Dato,74.71,25.29,724997,8,7,62.536,70.27,58.753,72.124,0.023,0.260745,3.09,0.01925275,9139380529,11735536577,218389639,0.269557,0.259564,-0.004296435515387998,45000000000.0,45000000000.0,35045020830.3234
dogecoin,doge,Dogecoin,2013-12-08,54.72,45.28,506468,9,6,65.012,75.114,71.666,66.788,0.01,0.062332,0.731578,8.69e-05,8771545732,8771538253,231847821,0.06303,0.061847,-0.000451804721923695,140737066383.705,Sin Dato,140737186383.705
solana,sol,Solana,Sin Dato,59.46,40.54,554152,10,4,65.857,89.605,50.646,74.593,0.104,20.23,259.96,0.500801,8269328828,11268252936,277187182,21.04,20.26,-0.712290834478253,555818625.235614,Sin Dato,407893486.847544
tron,trx,TRON,2017-08-28,47.83,52.17,227880,11,13,60.859,79.56,47.88,67.924,0.02,0.076851,0.231673,0.00180434,6873823305,6873835824,189472135,0.077328,0.076247,0.00012148,89377199890.4852,Sin Dato,89377037109.2596
polkadot,dot,Polkadot,Sin Dato,71.74,28.26,514032,12,9,62.064,87.35,44.057,67.345,0.013,4.44,54.98,2.7,5624220972,5983288198,97803391,4.48,4.36,0.02599263,1348851579.68465,Sin Dato,1267904719.18849
matic-network,matic,Polygon,Sin Dato,74.67,25.33,545757,13,66,48.86,62.496,12.154,68.532,0.053,0.54159,2.92,0.00314376,5049275954,5417986708,245724791,0.55144,0.536517,-0.001609286209976801,10000000000.0,10000000000.0,9319469069.28493
